customer_code,department_item_category,transaction_count,transaction_percentage
customer_code_1,Hygiene-baby_needs,1,0.6535947712418301
customer_code_1,Hygiene-beauty_and_personal_care,6,3.9215686274509802
customer_code_1,animal products-frozen_meat,11,7.18954248366013
customer_code_1,animal products-seafood,3,1.9607843137254901
customer_code_1,fresh-fruits,64,41.830065359477125
customer_code_1,fresh-vegetables,60,39.21568627450981
customer_code_1,homeware-stationery,3,1.9607843137254901
customer_code_1,household-baby_needs,1,0.6535947712418301
customer_code_1,lifestyle-wellness_food,4,2.6143790849673203
customer_code_10,Hygiene-baby_needs,1,0.5555555555555556
customer_code_10,Hygiene-beauty_and_personal_care,6,3.3333333333333335
customer_code_10,animal products-frozen_meat,75,41.66666666666667
customer_code_10,animal products-seafood,74,41.11111111111111
customer_code_10,fresh-fruits,9,5.0
customer_code_10,fresh-vegetables,7,3.888888888888889
customer_code_10,homeware-stationery,3,1.6666666666666667
customer_code_10,household-baby_needs,1,0.5555555555555556
customer_code_10,lifestyle-wellness_food,4,2.2222222222222223
customer_code_100,Hygiene-baby_needs,1,0.6535947712418301
customer_code_100,Hygiene-beauty_and_personal_care,114,74.50980392156863
customer_code_100,animal products-frozen_meat,11,7.18954248366013
customer_code_100,animal products-seafood,3,1.9607843137254901
customer_code_100,fresh-fruits,9,5.88235294117647
customer_code_100,fresh-vegetables,7,4.57516339869281
customer_code_100,homeware-stationery,3,1.9607843137254901
customer_code_100,household-baby_needs,1,0.6535947712418301
customer_code_100,lifestyle-wellness_food,4,2.6143790849673203
customer_code_1000,Hygiene-baby_needs,1,0.6535947712418301
customer_code_1000,Hygiene-beauty_and_personal_care,6,3.9215686274509802
customer_code_1000,animal products-frozen_meat,11,7.18954248366013
customer_code_1000,animal products-seafood,3,1.9607843137254901
customer_code_1000,fresh-fruits,72,47.05882352941176
customer_code_1000,fresh-vegetables,52,33.98692810457516
customer_code_1000,homeware-stationery,3,1.9607843137254901
customer_code_1000,household-baby_needs,1,0.6535947712418301
customer_code_1000,lifestyle-wellness_food,4,2.6143790849673203
customer_code_1001,Hygiene-baby_needs,1,0.6535947712418301
customer_code_1001,Hygiene-beauty_and_personal_care,6,3.9215686274509802
customer_code_1001,animal products-frozen_meat,11,7.18954248366013
customer_code_1001,animal products-seafood,3,1.9607843137254901
customer_code_1001,fresh-fruits,63,41.17647058823529
customer_code_1001,fresh-vegetables,61,39.869281045751634
customer_code_1001,homeware-stationery,3,1.9607843137254901
customer_code_1001,household-baby_needs,1,0.6535947712418301
customer_code_1001,lifestyle-wellness_food,4,2.6143790849673203
customer_code_1002,Hygiene-baby_needs,1,0.6535947712418301
customer_code_1002,Hygiene-beauty_and_personal_care,6,3.9215686274509802
customer_code_1002,animal products-frozen_meat,11,7.18954248366013
customer_code_1002,animal products-seafood,3,1.9607843137254901
customer_code_1002,fresh-fruits,73,47.712418300653596
customer_code_1002,fresh-vegetables,51,33.33333333333333
customer_code_1002,homeware-stationery,3,1.9607843137254901
customer_code_1002,household-baby_needs,1,0.6535947712418301
customer_code_1002,lifestyle-wellness_food,4,2.6143790849673203
customer_code_1003,Hygiene-baby_needs,1,0.6535947712418301
customer_code_1003,Hygiene-beauty_and_personal_care,6,3.9215686274509802
customer_code_1003,animal products-frozen_meat,11,7.18954248366013
customer_code_1003,animal products-seafood,3,1.9607843137254901
customer_code_1003,fresh-fruits,78,50.98039215686274
customer_code_1003,fresh-vegetables,46,30.065359477124183
customer_code_1003,homeware-stationery,3,1.9607843137254901
customer_code_1003,household-baby_needs,1,0.6535947712418301
customer_code_1003,lifestyle-wellness_food,4,2.6143790849673203
customer_code_1004,Hygiene-baby_needs,1,0.6535947712418301
customer_code_1004,Hygiene-beauty_and_personal_care,6,3.9215686274509802
customer_code_1004,animal products-frozen_meat,11,7.18954248366013
customer_code_1004,animal products-seafood,3,1.9607843137254901
customer_code_1004,fresh-fruits,75,49.01960784313725
customer_code_1004,fresh-vegetables,49,32.02614379084967
customer_code_1004,homeware-stationery,3,1.9607843137254901
customer_code_1004,household-baby_needs,1,0.6535947712418301
customer_code_1004,lifestyle-wellness_food,4,2.6143790849673203
customer_code_1005,Hygiene-baby_needs,1,0.6535947712418301
customer_code_1005,Hygiene-beauty_and_personal_care,6,3.9215686274509802
customer_code_1005,animal products-frozen_meat,11,7.18954248366013
customer_code_1005,animal products-seafood,3,1.9607843137254901
customer_code_1005,fresh-fruits,69,45.09803921568628
customer_code_1005,fresh-vegetables,55,35.947712418300654
customer_code_1005,homeware-stationery,3,1.9607843137254901
customer_code_1005,household-baby_needs,1,0.6535947712418301
customer_code_1005,lifestyle-wellness_food,4,2.6143790849673203
customer_code_1006,Hygiene-baby_needs,1,0.6535947712418301
customer_code_1006,Hygiene-beauty_and_personal_care,6,3.9215686274509802
customer_code_1006,animal products-frozen_meat,11,7.18954248366013
customer_code_1006,animal products-seafood,3,1.9607843137254901
customer_code_1006,fresh-fruits,65,42.48366013071895
customer_code_1006,fresh-vegetables,59,38.56209150326798
customer_code_1006,homeware-stationery,3,1.9607843137254901
customer_code_1006,household-baby_needs,1,0.6535947712418301
customer_code_1006,lifestyle-wellness_food,4,2.6143790849673203
customer_code_1007,Hygiene-baby_needs,1,0.6535947712418301
customer_code_1007,Hygiene-beauty_and_personal_care,6,3.9215686274509802
customer_code_1007,animal products-dairy,108,70.58823529411765
customer_code_1007,animal products-frozen_meat,11,7.18954248366013
customer_code_1007,animal products-seafood,3,1.9607843137254901
customer_code_1007,fresh-fruits,9,5.88235294117647
customer_code_1007,fresh-vegetables,7,4.57516339869281
customer_code_1007,homeware-stationery,3,1.9607843137254901
customer_code_1007,household-baby_needs,1,0.6535947712418301
customer_code_1007,lifestyle-wellness_food,4,2.6143790849673203
customer_code_1008,Hygiene-baby_needs,1,0.6535947712418301
customer_code_1008,Hygiene-beauty_and_personal_care,6,3.9215686274509802
customer_code_1008,animal products-frozen_meat,63,41.17647058823529
customer_code_1008,animal products-seafood,59,38.56209150326798
customer_code_1008,fresh-fruits,9,5.88235294117647
customer_code_1008,fresh-vegetables,7,4.57516339869281
customer_code_1008,homeware-stationery,3,1.9607843137254901
customer_code_1008,household-baby_needs,1,0.6535947712418301
customer_code_1008,lifestyle-wellness_food,4,2.6143790849673203
customer_code_1009,Hygiene-baby_needs,1,0.6535947712418301
customer_code_1009,Hygiene-beauty_and_personal_care,6,3.9215686274509802
customer_code_1009,animal products-frozen_meat,64,41.830065359477125
customer_code_1009,animal products-seafood,58,37.908496732026144
customer_code_1009,fresh-fruits,9,5.88235294117647
customer_code_1009,fresh-vegetables,7,4.57516339869281
customer_code_1009,homeware-stationery,3,1.9607843137254901
customer_code_1009,household-baby_needs,1,0.6535947712418301
customer_code_1009,lifestyle-wellness_food,4,2.6143790849673203
customer_code_101,Hygiene-baby_needs,1,0.6535947712418301
customer_code_101,Hygiene-beauty_and_personal_care,114,74.50980392156863
customer_code_101,animal products-frozen_meat,11,7.18954248366013
customer_code_101,animal products-seafood,3,1.9607843137254901
customer_code_101,fresh-fruits,9,5.88235294117647
customer_code_101,fresh-vegetables,7,4.57516339869281
customer_code_101,homeware-stationery,3,1.9607843137254901
customer_code_101,household-baby_needs,1,0.6535947712418301
customer_code_101,lifestyle-wellness_food,4,2.6143790849673203
customer_code_1010,Hygiene-baby_needs,1,0.6535947712418301
customer_code_1010,Hygiene-beauty_and_personal_care,6,3.9215686274509802
customer_code_1010,animal products-frozen_meat,66,43.13725490196079
customer_code_1010,animal products-seafood,56,36.60130718954248
customer_code_1010,fresh-fruits,9,5.88235294117647
customer_code_1010,fresh-vegetables,7,4.57516339869281
customer_code_1010,homeware-stationery,3,1.9607843137254901
customer_code_1010,household-baby_needs,1,0.6535947712418301
customer_code_1010,lifestyle-wellness_food,4,2.6143790849673203
customer_code_1011,Hygiene-baby_needs,1,0.6535947712418301
customer_code_1011,Hygiene-beauty_and_personal_care,6,3.9215686274509802
customer_code_1011,animal products-frozen_meat,11,7.18954248366013
