customer_code,level_1,total_sales_quantity_breakdown
customer_code_1,baby_needs,0.27%
customer_code_1,beauty_and_personal_care,2.51%
customer_code_1,frozen_meat,5.47%
customer_code_1,fruits,47.26%
customer_code_1,seafood,1.08%
customer_code_1,stationery,1.97%
customer_code_1,vegetables,39.64%
customer_code_1,wellness_food,1.79%
customer_code_1,dairy,
customer_code_1,pet_care,
customer_code_1,pet_food,
customer_code_1,wellness_products,
customer_code_10,baby_needs,0.11%
customer_code_10,beauty_and_personal_care,1.01%
customer_code_10,frozen_meat,38.28%
customer_code_10,fruits,1.87%
customer_code_10,seafood,56.04%
customer_code_10,stationery,0.79%
customer_code_10,vegetables,1.19%
customer_code_10,wellness_food,0.72%
customer_code_10,dairy,
customer_code_10,pet_care,
customer_code_10,pet_food,
customer_code_10,wellness_products,
customer_code_100,baby_needs,0.20%
customer_code_100,beauty_and_personal_care,86.75%
customer_code_100,frozen_meat,3.98%
customer_code_100,fruits,3.39%
customer_code_100,seafood,0.78%
customer_code_100,stationery,1.44%
customer_code_100,vegetables,2.15%
customer_code_100,wellness_food,1.31%
customer_code_100,dairy,
customer_code_100,pet_care,
customer_code_100,pet_food,
customer_code_100,wellness_products,
customer_code_1000,baby_needs,0.63%
customer_code_1000,beauty_and_personal_care,5.89%
customer_code_1000,frozen_meat,12.84%
customer_code_1000,fruits,40.21%
customer_code_1000,seafood,2.53%
customer_code_1000,stationery,4.63%
customer_code_1000,vegetables,29.05%
customer_code_1000,wellness_food,4.21%
customer_code_1000,dairy,
customer_code_1000,pet_care,
customer_code_1000,pet_food,
customer_code_1000,wellness_products,
customer_code_1001,baby_needs,0.62%
customer_code_1001,beauty_and_personal_care,5.80%
customer_code_1001,frozen_meat,12.63%
customer_code_1001,fruits,38.10%
customer_code_1001,seafood,2.48%
customer_code_1001,stationery,4.55%
customer_code_1001,vegetables,31.68%
customer_code_1001,wellness_food,4.14%
customer_code_1001,dairy,
customer_code_1001,pet_care,
customer_code_1001,pet_food,
customer_code_1001,wellness_products,
customer_code_1002,baby_needs,0.27%
customer_code_1002,beauty_and_personal_care,2.50%
customer_code_1002,frozen_meat,5.46%
customer_code_1002,fruits,57.60%
customer_code_1002,seafood,1.07%
customer_code_1002,stationery,1.97%
customer_code_1002,vegetables,29.34%
customer_code_1002,wellness_food,1.79%
customer_code_1002,dairy,
customer_code_1002,pet_care,
customer_code_1002,pet_food,
customer_code_1002,wellness_products,
customer_code_1003,baby_needs,0.29%
customer_code_1003,beauty_and_personal_care,2.66%
customer_code_1003,frozen_meat,5.80%
customer_code_1003,fruits,50.76%
customer_code_1003,seafood,1.14%
customer_code_1003,stationery,2.09%
customer_code_1003,vegetables,35.36%
customer_code_1003,wellness_food,1.90%
customer_code_1003,dairy,
customer_code_1003,pet_care,
customer_code_1003,pet_food,
customer_code_1003,wellness_products,
customer_code_1004,baby_needs,0.27%
customer_code_1004,beauty_and_personal_care,2.50%
customer_code_1004,frozen_meat,5.45%
customer_code_1004,fruits,55.98%
customer_code_1004,seafood,1.07%
customer_code_1004,stationery,1.96%
customer_code_1004,vegetables,30.98%
customer_code_1004,wellness_food,1.79%
customer_code_1004,dairy,
customer_code_1004,pet_care,
customer_code_1004,pet_food,
customer_code_1004,wellness_products,
customer_code_1005,baby_needs,0.29%
customer_code_1005,beauty_and_personal_care,2.72%
customer_code_1005,frozen_meat,5.93%
customer_code_1005,fruits,48.69%
customer_code_1005,seafood,1.17%
customer_code_1005,stationery,2.14%
customer_code_1005,vegetables,37.12%
customer_code_1005,wellness_food,1.94%
customer_code_1005,dairy,
customer_code_1005,pet_care,
customer_code_1005,pet_food,
customer_code_1005,wellness_products,
customer_code_1006,baby_needs,0.31%
customer_code_1006,beauty_and_personal_care,2.94%
customer_code_1006,frozen_meat,6.39%
customer_code_1006,fruits,43.29%
customer_code_1006,seafood,1.26%
customer_code_1006,stationery,2.31%
customer_code_1006,vegetables,41.40%
customer_code_1006,wellness_food,2.10%
customer_code_1006,dairy,
customer_code_1006,pet_care,
customer_code_1006,pet_food,
customer_code_1006,wellness_products,
customer_code_1007,baby_needs,0.29%
customer_code_1007,beauty_and_personal_care,2.73%
customer_code_1007,frozen_meat,5.95%
customer_code_1007,fruits,5.07%
customer_code_1007,seafood,1.17%
customer_code_1007,stationery,2.15%
customer_code_1007,vegetables,3.22%
customer_code_1007,wellness_food,1.95%
customer_code_1007,dairy,77.46%
customer_code_1007,pet_care,
customer_code_1007,pet_food,
customer_code_1007,wellness_products,
customer_code_1008,baby_needs,0.32%
customer_code_1008,beauty_and_personal_care,3.02%
customer_code_1008,frozen_meat,42.55%
customer_code_1008,fruits,5.62%
customer_code_1008,seafood,40.39%
customer_code_1008,stationery,2.38%
customer_code_1008,vegetables,3.56%
customer_code_1008,wellness_food,2.16%
customer_code_1008,dairy,
customer_code_1008,pet_care,
customer_code_1008,pet_food,
customer_code_1008,wellness_products,
customer_code_1009,baby_needs,0.35%
customer_code_1009,beauty_and_personal_care,3.23%
customer_code_1009,frozen_meat,42.79%
customer_code_1009,fruits,6.00%
customer_code_1009,seafood,38.99%
customer_code_1009,stationery,2.54%
customer_code_1009,vegetables,3.81%
customer_code_1009,wellness_food,2.31%
customer_code_1009,dairy,
customer_code_1009,pet_care,
customer_code_1009,pet_food,
customer_code_1009,wellness_products,
customer_code_101,baby_needs,0.23%
customer_code_101,beauty_and_personal_care,84.75%
customer_code_101,frozen_meat,4.58%
customer_code_101,fruits,3.91%
customer_code_101,seafood,0.90%
customer_code_101,stationery,1.65%
customer_code_101,vegetables,2.48%
customer_code_101,wellness_food,1.50%
customer_code_101,dairy,
customer_code_101,pet_care,
customer_code_101,pet_food,
customer_code_101,wellness_products,
customer_code_1010,baby_needs,0.34%
customer_code_1010,beauty_and_personal_care,3.14%
customer_code_1010,frozen_meat,49.66%
customer_code_1010,fruits,5.83%
customer_code_1010,seafood,32.62%
customer_code_1010,stationery,2.47%
customer_code_1010,vegetables,3.70%
customer_code_1010,wellness_food,2.24%
customer_code_1010,dairy,
customer_code_1010,pet_care,
customer_code_1010,pet_food,
customer_code_1010,wellness_products,
customer_code_1011,baby_needs,0.50%
customer_code_1011,beauty_and_personal_care,4.62%
customer_code_1011,frozen_meat,10.07%
customer_code_1011,fruits,8.58%
customer_code_1011,seafood,1.98%
customer_code_1011,stationery,3.63%
customer_code_1011,vegetables,5.45%
customer_code_1011,wellness_food,3.30%
customer_code_1011,dairy,
customer_code_1011,pet_care,34.65%
customer_code_1011,pet_food,27.23%
customer_code_1011,wellness_products,
customer_code_1012,baby_needs,0.20%
customer_code_1012,beauty_and_personal_care,86.25%
customer_code_1012,frozen_meat,4.13%
customer_code_1012,fruits,3.52%
customer_code_1012,seafood,0.81%
customer_code_1012,stationery,1.49%
customer_code_1012,vegetables,2.24%
customer_code_1012,wellness_food,1.36%
customer_code_1012,dairy,
customer_code_1012,pet_care,
customer_code_1012,pet_food,
customer_code_1012,wellness_products,
customer_code_1013,baby_needs,83.06%
customer_code_1013,beauty_and_personal_care,2.08%
customer_code_1013,frozen_meat,4.53%
customer_code_1013,fruits,3.86%
customer_code_1013,seafood,0.89%
customer_code_1013,stationery,1.63%
customer_code_1013,vegetables,2.45%
customer_code_1013,wellness_food,1.49%
customer_code_1013,dairy,
customer_code_1013,pet_care,
customer_code_1013,pet_food,
customer_code_1013,wellness_products,
customer_code_1014,baby_needs,84.56%
customer_code_1014,beauty_and_personal_care,1.90%
customer_code_1014,frozen_meat,4.13%
customer_code_1014,fruits,3.52%
customer_code_1014,seafood,0.81%
customer_code_1014,stationery,1.49%
customer_code_1014,vegetables,2.23%
customer_code_1014,wellness_food,1.35%
customer_code_1014,dairy,
customer_code_1014,pet_care,
customer_code_1014,pet_food,
customer_code_1014,wellness_products,
customer_code_1015,baby_needs,0.61%
customer_code_1015,beauty_and_personal_care,5.71%
customer_code_1015,frozen_meat,12.45%
customer_code_1015,fruits,39.59%
customer_code_1015,seafood,2.45%
customer_code_1015,stationery,4.49%
customer_code_1015,vegetables,30.61%
customer_code_1015,wellness_food,4.08%
customer_code_1015,dairy,
customer_code_1015,pet_care,
customer_code_1015,pet_food,
customer_code_1015,wellness_products,
customer_code_1016,baby_needs,0.31%
customer_code_1016,beauty_and_personal_care,2.93%
