customer_code,month,week_of_month,total_sales
customer_code_1,1,1,41
customer_code_1,2,1,52
customer_code_1,3,3,55
customer_code_1,4,2,41
customer_code_1,5,1,53
customer_code_1,6,4,85
customer_code_1,7,2,43
customer_code_10,1,1,97
customer_code_10,2,4,127
customer_code_10,3,3,102
customer_code_10,4,3,116
customer_code_10,5,4,142
customer_code_10,6,4,240
customer_code_10,7,1,145
customer_code_100,1,1,57
customer_code_100,2,2,57
customer_code_100,3,3,50
customer_code_100,4,3,66
customer_code_100,5,2,101
customer_code_100,6,4,144
customer_code_100,7,1,87
customer_code_1000,1,1,33
customer_code_1000,2,3,25
customer_code_1000,3,3,33
customer_code_1000,4,3,21
customer_code_1000,5,2,36
customer_code_1000,6,4,24
customer_code_1000,7,1,21
customer_code_1001,1,1,36
customer_code_1001,2,3,29
customer_code_1001,3,3,38
customer_code_1001,4,3,18
customer_code_1001,5,2,36
customer_code_1001,6,4,24
customer_code_1001,7,1,21
customer_code_1002,1,1,56
customer_code_1002,2,4,41
customer_code_1002,3,2,47
customer_code_1002,4,3,46
customer_code_1002,5,4,58
customer_code_1002,6,2,97
customer_code_1002,7,1,115
customer_code_1003,1,1,38
customer_code_1003,2,1,45
customer_code_1003,3,3,52
customer_code_1003,4,4,42
customer_code_1003,5,5,70
customer_code_1003,6,4,81
customer_code_1003,7,1,39
customer_code_1004,1,1,43
customer_code_1004,2,3,44
customer_code_1004,3,4,45
customer_code_1004,4,3,50
customer_code_1004,5,2,68
customer_code_1004,6,4,76
customer_code_1004,7,1,117
customer_code_1005,1,1,45
customer_code_1005,2,3,54
customer_code_1005,3,1,34
customer_code_1005,4,2,38
customer_code_1005,5,1,64
customer_code_1005,6,3,78
customer_code_1005,7,1,43
customer_code_1006,1,1,51
customer_code_1006,2,3,46
customer_code_1006,3,3,41
customer_code_1006,4,2,46
customer_code_1006,5,2,59
customer_code_1006,6,4,131
customer_code_1006,7,1,33
customer_code_1007,1,1,52
customer_code_1007,2,3,48
customer_code_1007,3,1,43
customer_code_1007,4,3,49
customer_code_1007,5,2,64
customer_code_1007,6,2,87
customer_code_1007,7,1,90
customer_code_1008,1,1,43
customer_code_1008,2,3,41
customer_code_1008,3,1,38
customer_code_1008,4,4,52
customer_code_1008,5,2,56
customer_code_1008,6,4,59
customer_code_1008,7,1,55
customer_code_1009,1,1,47
customer_code_1009,2,1,32
customer_code_1009,3,3,35
customer_code_1009,4,4,49
customer_code_1009,5,2,59
customer_code_1009,6,3,57
customer_code_1009,7,1,70
customer_code_101,1,1,61
customer_code_101,2,2,62
customer_code_101,3,3,99
customer_code_101,4,4,78
customer_code_101,5,2,66
customer_code_101,6,2,105
customer_code_101,7,1,101
customer_code_1010,1,1,51
customer_code_1010,2,3,50
customer_code_1010,3,2,43
customer_code_1010,4,3,28
customer_code_1010,5,4,51
customer_code_1010,6,4,75
customer_code_1010,7,1,80
customer_code_1011,1,1,37
customer_code_1011,2,3,37
customer_code_1011,3,3,46
customer_code_1011,4,4,27
customer_code_1011,5,2,42
customer_code_1011,6,4,36
customer_code_1011,7,1,22
customer_code_1012,1,1,62
customer_code_1012,2,3,46
customer_code_1012,3,3,86
customer_code_1012,4,4,59
customer_code_1012,5,2,104
customer_code_1012,6,4,108
customer_code_1012,7,1,144
customer_code_1013,1,1,56
customer_code_1013,2,1,59
customer_code_1013,3,2,44
customer_code_1013,4,3,72
customer_code_1013,5,1,69
customer_code_1013,6,1,93
customer_code_1013,7,1,70
customer_code_1014,1,1,61
customer_code_1014,2,1,54
customer_code_1014,3,3,76
customer_code_1014,4,2,57
customer_code_1014,5,2,98
customer_code_1014,6,4,141
customer_code_1014,7,1,84
customer_code_1015,1,1,33
customer_code_1015,2,3,29
customer_code_1015,3,3,28
customer_code_1015,4,3,26
customer_code_1015,5,2,36
