customer_code,level_1,total_sales_quantity_breakdown
customer_code_1,Hygiene-baby_needs,0.18%
customer_code_1,Hygiene-beauty_and_personal_care,2.51%
customer_code_1,animal products-frozen_meat,5.47%
customer_code_1,animal products-seafood,1.08%
customer_code_1,fresh-fruits,47.26%
customer_code_1,fresh-vegetables,39.64%
customer_code_1,homeware-stationery,1.97%
customer_code_1,household-baby_needs,0.09%
customer_code_1,lifestyle-wellness_food,1.79%
customer_code_1,animal products-dairy,
customer_code_1,pet_products-pet_care,
customer_code_1,pet_products-pet_food,
customer_code_1,household-wellness_products,
customer_code_10,Hygiene-baby_needs,0.07%
customer_code_10,Hygiene-beauty_and_personal_care,1.01%
customer_code_10,animal products-frozen_meat,38.28%
customer_code_10,animal products-seafood,56.04%
customer_code_10,fresh-fruits,1.87%
customer_code_10,fresh-vegetables,1.19%
customer_code_10,homeware-stationery,0.79%
customer_code_10,household-baby_needs,0.04%
customer_code_10,lifestyle-wellness_food,0.72%
customer_code_10,animal products-dairy,
customer_code_10,pet_products-pet_care,
customer_code_10,pet_products-pet_food,
customer_code_10,household-wellness_products,
customer_code_100,Hygiene-baby_needs,0.13%
customer_code_100,Hygiene-beauty_and_personal_care,86.75%
customer_code_100,animal products-frozen_meat,3.98%
customer_code_100,animal products-seafood,0.78%
customer_code_100,fresh-fruits,3.39%
customer_code_100,fresh-vegetables,2.15%
customer_code_100,homeware-stationery,1.44%
customer_code_100,household-baby_needs,0.07%
customer_code_100,lifestyle-wellness_food,1.31%
customer_code_100,animal products-dairy,
customer_code_100,pet_products-pet_care,
customer_code_100,pet_products-pet_food,
customer_code_100,household-wellness_products,
customer_code_1000,Hygiene-baby_needs,0.42%
customer_code_1000,Hygiene-beauty_and_personal_care,5.89%
customer_code_1000,animal products-frozen_meat,12.84%
customer_code_1000,animal products-seafood,2.53%
customer_code_1000,fresh-fruits,40.21%
customer_code_1000,fresh-vegetables,29.05%
customer_code_1000,homeware-stationery,4.63%
customer_code_1000,household-baby_needs,0.21%
customer_code_1000,lifestyle-wellness_food,4.21%
customer_code_1000,animal products-dairy,
customer_code_1000,pet_products-pet_care,
customer_code_1000,pet_products-pet_food,
customer_code_1000,household-wellness_products,
customer_code_1001,Hygiene-baby_needs,0.41%
customer_code_1001,Hygiene-beauty_and_personal_care,5.80%
customer_code_1001,animal products-frozen_meat,12.63%
customer_code_1001,animal products-seafood,2.48%
customer_code_1001,fresh-fruits,38.10%
customer_code_1001,fresh-vegetables,31.68%
customer_code_1001,homeware-stationery,4.55%
customer_code_1001,household-baby_needs,0.21%
customer_code_1001,lifestyle-wellness_food,4.14%
customer_code_1001,animal products-dairy,
customer_code_1001,pet_products-pet_care,
customer_code_1001,pet_products-pet_food,
customer_code_1001,household-wellness_products,
customer_code_1002,Hygiene-baby_needs,0.18%
customer_code_1002,Hygiene-beauty_and_personal_care,2.50%
customer_code_1002,animal products-frozen_meat,5.46%
customer_code_1002,animal products-seafood,1.07%
customer_code_1002,fresh-fruits,57.60%
customer_code_1002,fresh-vegetables,29.34%
customer_code_1002,homeware-stationery,1.97%
customer_code_1002,household-baby_needs,0.09%
customer_code_1002,lifestyle-wellness_food,1.79%
customer_code_1002,animal products-dairy,
customer_code_1002,pet_products-pet_care,
customer_code_1002,pet_products-pet_food,
customer_code_1002,household-wellness_products,
customer_code_1003,Hygiene-baby_needs,0.19%
customer_code_1003,Hygiene-beauty_and_personal_care,2.66%
customer_code_1003,animal products-frozen_meat,5.80%
customer_code_1003,animal products-seafood,1.14%
customer_code_1003,fresh-fruits,50.76%
customer_code_1003,fresh-vegetables,35.36%
customer_code_1003,homeware-stationery,2.09%
customer_code_1003,household-baby_needs,0.10%
customer_code_1003,lifestyle-wellness_food,1.90%
customer_code_1003,animal products-dairy,
customer_code_1003,pet_products-pet_care,
customer_code_1003,pet_products-pet_food,
customer_code_1003,household-wellness_products,
customer_code_1004,Hygiene-baby_needs,0.18%
customer_code_1004,Hygiene-beauty_and_personal_care,2.50%
customer_code_1004,animal products-frozen_meat,5.45%
customer_code_1004,animal products-seafood,1.07%
customer_code_1004,fresh-fruits,55.98%
customer_code_1004,fresh-vegetables,30.98%
customer_code_1004,homeware-stationery,1.96%
customer_code_1004,household-baby_needs,0.09%
customer_code_1004,lifestyle-wellness_food,1.79%
customer_code_1004,animal products-dairy,
customer_code_1004,pet_products-pet_care,
customer_code_1004,pet_products-pet_food,
customer_code_1004,household-wellness_products,
customer_code_1005,Hygiene-baby_needs,0.19%
customer_code_1005,Hygiene-beauty_and_personal_care,2.72%
customer_code_1005,animal products-frozen_meat,5.93%
customer_code_1005,animal products-seafood,1.17%
