,customer_code,week_of_month,transaction_count,frequency_category
0,customer_code_1,1,43,non-frequent
1,customer_code_10,1,51,frequent
2,customer_code_100,1,44,non-frequent
3,customer_code_1000,1,42,non-frequent
4,customer_code_1001,1,42,non-frequent
5,customer_code_1002,1,39,non-frequent
6,customer_code_1003,1,43,non-frequent
7,customer_code_1004,1,45,non-frequent
8,customer_code_1005,1,45,non-frequent
9,customer_code_1006,1,44,non-frequent
10,customer_code_1007,1,47,non-frequent
11,customer_code_1008,1,47,non-frequent
12,customer_code_1009,1,45,non-frequent
13,customer_code_101,1,43,non-frequent
14,customer_code_1010,1,44,non-frequent
15,customer_code_1011,1,41,non-frequent
16,customer_code_1012,1,46,non-frequent
17,customer_code_1013,1,45,non-frequent
18,customer_code_1014,1,48,non-frequent
19,customer_code_1015,1,45,non-frequent
20,customer_code_1016,1,45,non-frequent
21,customer_code_1017,1,55,frequent
22,customer_code_1018,1,50,frequent
23,customer_code_1019,1,54,frequent
24,customer_code_102,1,47,non-frequent
25,customer_code_1020,1,49,frequent
26,customer_code_1021,1,45,non-frequent
27,customer_code_1022,1,41,non-frequent
28,customer_code_1023,1,46,non-frequent
29,customer_code_1024,1,48,non-frequent
30,customer_code_1025,1,43,non-frequent
31,customer_code_1026,1,42,non-frequent
32,customer_code_1027,1,53,frequent
33,customer_code_1028,1,50,frequent
34,customer_code_1029,1,46,non-frequent
35,customer_code_103,1,55,frequent
36,customer_code_1030,1,47,non-frequent
37,customer_code_1031,1,43,non-frequent
38,customer_code_1032,1,46,non-frequent
39,customer_code_1033,1,44,non-frequent
40,customer_code_1034,1,47,non-frequent
41,customer_code_1035,1,46,non-frequent
42,customer_code_1036,1,47,non-frequent
43,customer_code_1037,1,44,non-frequent
44,customer_code_1038,1,43,non-frequent
45,customer_code_1039,1,43,non-frequent
46,customer_code_104,1,46,non-frequent
47,customer_code_1040,1,50,frequent
48,customer_code_1041,1,44,non-frequent
49,customer_code_1042,1,45,non-frequent
50,customer_code_1043,1,55,frequent
51,customer_code_1044,1,46,non-frequent
52,customer_code_1045,1,56,frequent
53,customer_code_1046,1,50,frequent
54,customer_code_1047,1,44,non-frequent
55,customer_code_1048,1,45,non-frequent
56,customer_code_1049,1,43,non-frequent
57,customer_code_105,1,44,non-frequent
58,customer_code_1050,1,44,non-frequent
59,customer_code_1051,1,44,non-frequent
60,customer_code_1052,1,44,non-frequent
61,customer_code_1053,1,44,non-frequent
62,customer_code_1054,1,49,frequent
63,customer_code_1055,1,41,non-frequent
64,customer_code_1056,1,49,frequent
65,customer_code_1057,1,45,non-frequent
66,customer_code_1058,1,43,non-frequent
67,customer_code_1059,1,42,non-frequent
68,customer_code_106,1,43,non-frequent
69,customer_code_1060,1,44,non-frequent
70,customer_code_1061,1,36,non-frequent
71,customer_code_1062,1,46,non-frequent
72,customer_code_1063,1,43,non-frequent
73,customer_code_1064,1,57,frequent
74,customer_code_1065,1,45,non-frequent
75,customer_code_1066,1,45,non-frequent
76,customer_code_1067,1,49,frequent
77,customer_code_1068,1,45,non-frequent
78,customer_code_1069,1,41,non-frequent
79,customer_code_107,1,43,non-frequent
80,customer_code_1070,1,49,frequent
81,customer_code_1071,1,47,non-frequent
82,customer_code_1072,1,46,non-frequent
83,customer_code_1073,1,39,non-frequent
84,customer_code_1074,1,42,non-frequent
85,customer_code_1075,1,46,non-frequent
86,customer_code_1076,1,47,non-frequent
87,customer_code_1077,1,43,non-frequent
88,customer_code_1078,1,50,frequent
89,customer_code_1079,1,55,frequent
90,customer_code_108,1,41,non-frequent
91,customer_code_1080,1,41,non-frequent
92,customer_code_1081,1,39,non-frequent
93,customer_code_1082,1,37,non-frequent
94,customer_code_1083,1,41,non-frequent
95,customer_code_1084,1,39,non-frequent
96,customer_code_1085,1,53,frequent
97,customer_code_1086,1,42,non-frequent
98,customer_code_1087,1,45,non-frequent
99,customer_code_1088,1,42,non-frequent
100,customer_code_1089,1,44,non-frequent
101,customer_code_109,1,45,non-frequent
102,customer_code_1090,1,45,non-frequent
103,customer_code_1091,1,48,non-frequent
104,customer_code_1092,1,47,non-frequent
105,customer_code_1093,1,47,non-frequent
106,customer_code_1094,1,47,non-frequent
107,customer_code_1095,1,45,non-frequent
108,customer_code_1096,1,44,non-frequent
109,customer_code_1097,1,45,non-frequent
110,customer_code_1098,1,51,frequent
111,customer_code_1099,1,45,non-frequent
112,customer_code_11,1,49,frequent
113,customer_code_110,1,47,non-frequent
114,customer_code_1100,1,45,non-frequent
115,customer_code_1101,1,47,non-frequent
116,customer_code_1102,1,45,non-frequent
117,customer_code_1103,1,42,non-frequent
118,customer_code_1104,1,51,frequent
119,customer_code_1105,1,46,non-frequent
120,customer_code_1106,1,42,non-frequent
121,customer_code_1107,1,49,frequent
122,customer_code_1108,1,46,non-frequent
123,customer_code_1109,1,47,non-frequent
124,customer_code_111,1,41,non-frequent
125,customer_code_1110,1,48,non-frequent
126,customer_code_1111,1,44,non-frequent
127,customer_code_1112,1,46,non-frequent
128,customer_code_1113,1,45,non-frequent
129,customer_code_1114,1,41,non-frequent
130,customer_code_1115,1,45,non-frequent
131,customer_code_1116,1,45,non-frequent
132,customer_code_1117,1,41,non-frequent
133,customer_code_1118,1,47,non-frequent
134,customer_code_1119,1,51,frequent
135,customer_code_112,1,46,non-frequent
136,customer_code_1120,1,53,frequent
137,customer_code_1121,1,50,frequent
138,customer_code_1122,1,41,non-frequent
139,customer_code_1123,1,46,non-frequent
140,customer_code_1124,1,44,non-frequent
141,customer_code_1125,1,44,non-frequent
142,customer_code_1126,1,42,non-frequent
143,customer_code_1127,1,42,non-frequent
144,customer_code_1128,1,43,non-frequent
145,customer_code_1129,1,43,non-frequent
146,customer_code_113,1,40,non-frequent
147,customer_code_1130,1,42,non-frequent
148,customer_code_1131,1,47,non-frequent
149,customer_code_1132,1,45,non-frequent
150,customer_code_1133,1,45,non-frequent
151,customer_code_1134,1,53,frequent
152,customer_code_1135,1,44,non-frequent
153,customer_code_1136,1,46,non-frequent
154,customer_code_1137,1,43,non-frequent
155,customer_code_1138,1,50,frequent
156,customer_code_1139,1,44,non-frequent
157,customer_code_114,1,46,non-frequent
158,customer_code_1140,1,51,frequent
159,customer_code_1141,1,45,non-frequent
160,customer_code_1142,1,47,non-frequent
161,customer_code_1143,1,44,non-frequent
162,customer_code_1144,1,45,non-frequent
163,customer_code_1145,1,51,frequent
164,customer_code_1146,1,44,non-frequent
165,customer_code_1147,1,50,frequent
166,customer_code_1148,1,49,frequent
167,customer_code_1149,1,47,non-frequent
168,customer_code_115,1,37,non-frequent
169,customer_code_1150,1,46,non-frequent
170,customer_code_1151,1,42,non-frequent
171,customer_code_1152,1,46,non-frequent
172,customer_code_1153,1,44,non-frequent
173,customer_code_1154,1,55,frequent
174,customer_code_1155,1,44,non-frequent
175,customer_code_1156,1,48,non-frequent
176,customer_code_1157,1,47,non-frequent
177,customer_code_1158,1,50,frequent
178,customer_code_1159,1,51,frequent
179,customer_code_116,1,55,frequent
180,customer_code_1160,1,43,non-frequent
181,customer_code_1161,1,48,non-frequent
182,customer_code_1162,1,51,frequent
183,customer_code_1163,1,40,non-frequent
184,customer_code_1164,1,41,non-frequent
185,customer_code_1165,1,46,non-frequent
186,customer_code_1166,1,45,non-frequent
187,customer_code_1167,1,45,non-frequent
188,customer_code_1168,1,38,non-frequent
189,customer_code_1169,1,47,non-frequent
190,customer_code_117,1,52,frequent
191,customer_code_1170,1,45,non-frequent
192,customer_code_1171,1,43,non-frequent
193,customer_code_1172,1,47,non-frequent
194,customer_code_1173,1,46,non-frequent
195,customer_code_1174,1,42,non-frequent
196,customer_code_1175,1,51,frequent
197,customer_code_1176,1,51,frequent
198,customer_code_1177,1,48,non-frequent
199,customer_code_1178,1,48,non-frequent
200,customer_code_1179,1,44,non-frequent
201,customer_code_118,1,48,non-frequent
202,customer_code_1180,1,46,non-frequent
203,customer_code_1181,1,43,non-frequent
204,customer_code_1182,1,50,frequent
205,customer_code_1183,1,51,frequent
206,customer_code_1184,1,46,non-frequent
207,customer_code_1185,1,51,frequent
208,customer_code_1186,1,49,frequent
209,customer_code_1187,1,47,non-frequent
210,customer_code_1188,1,44,non-frequent
211,customer_code_1189,1,47,non-frequent
212,customer_code_119,1,44,non-frequent
213,customer_code_1190,1,47,non-frequent
214,customer_code_1191,1,44,non-frequent
215,customer_code_1192,1,43,non-frequent
216,customer_code_1193,1,58,frequent
217,customer_code_1194,1,42,non-frequent
218,customer_code_1195,1,49,frequent
219,customer_code_1196,1,52,frequent
220,customer_code_1197,1,48,non-frequent
221,customer_code_1198,1,44,non-frequent
222,customer_code_1199,1,42,non-frequent
223,customer_code_12,1,43,non-frequent
224,customer_code_120,1,50,frequent
225,customer_code_1200,1,51,frequent
226,customer_code_1201,1,42,non-frequent
227,customer_code_1202,1,46,non-frequent
228,customer_code_1203,1,46,non-frequent
229,customer_code_1204,1,58,frequent
230,customer_code_1205,1,48,non-frequent
231,customer_code_1206,1,46,non-frequent
232,customer_code_1207,1,41,non-frequent
233,customer_code_1208,1,46,non-frequent
234,customer_code_1209,1,42,non-frequent
235,customer_code_121,1,45,non-frequent
236,customer_code_1210,1,46,non-frequent
237,customer_code_1211,1,44,non-frequent
238,customer_code_1212,1,44,non-frequent
239,customer_code_1213,1,58,frequent
240,customer_code_1214,1,50,frequent
241,customer_code_1215,1,40,non-frequent
242,customer_code_1216,1,46,non-frequent
243,customer_code_1217,1,52,frequent
244,customer_code_1218,1,42,non-frequent
245,customer_code_1219,1,45,non-frequent
246,customer_code_122,1,42,non-frequent
247,customer_code_1220,1,48,non-frequent
248,customer_code_1221,1,41,non-frequent
249,customer_code_1222,1,47,non-frequent
250,customer_code_1223,1,44,non-frequent
251,customer_code_1224,1,44,non-frequent
252,customer_code_1225,1,49,frequent
253,customer_code_1226,1,44,non-frequent
254,customer_code_1227,1,46,non-frequent
255,customer_code_1228,1,54,frequent
256,customer_code_1229,1,51,frequent
257,customer_code_123,1,39,non-frequent
258,customer_code_1230,1,56,frequent
259,customer_code_1231,1,46,non-frequent
260,customer_code_1232,1,42,non-frequent
261,customer_code_1233,1,50,frequent
262,customer_code_1234,1,46,non-frequent
263,customer_code_1235,1,44,non-frequent
264,customer_code_1236,1,42,non-frequent
265,customer_code_1237,1,46,non-frequent
266,customer_code_1238,1,43,non-frequent
267,customer_code_1239,1,55,frequent
268,customer_code_124,1,46,non-frequent
269,customer_code_1240,1,55,frequent
270,customer_code_1241,1,40,non-frequent
271,customer_code_1242,1,48,non-frequent
272,customer_code_1243,1,46,non-frequent
273,customer_code_1244,1,48,non-frequent
274,customer_code_1245,1,42,non-frequent
275,customer_code_1246,1,52,frequent
276,customer_code_1247,1,45,non-frequent
277,customer_code_1248,1,47,non-frequent
278,customer_code_1249,1,46,non-frequent
279,customer_code_125,1,50,frequent
280,customer_code_1250,1,43,non-frequent
281,customer_code_1251,1,46,non-frequent
282,customer_code_1252,1,42,non-frequent
283,customer_code_1253,1,50,frequent
284,customer_code_1254,1,47,non-frequent
285,customer_code_1255,1,48,non-frequent
286,customer_code_1256,1,37,non-frequent
287,customer_code_1257,1,42,non-frequent
288,customer_code_1258,1,46,non-frequent
289,customer_code_1259,1,47,non-frequent
290,customer_code_126,1,44,non-frequent
291,customer_code_1260,1,50,frequent
292,customer_code_1261,1,39,non-frequent
293,customer_code_1262,1,44,non-frequent
294,customer_code_1263,1,48,non-frequent
295,customer_code_1264,1,40,non-frequent
296,customer_code_1265,1,47,non-frequent
297,customer_code_1266,1,51,frequent
298,customer_code_1267,1,43,non-frequent
299,customer_code_1268,1,44,non-frequent
300,customer_code_1269,1,45,non-frequent
301,customer_code_127,1,43,non-frequent
302,customer_code_1270,1,45,non-frequent
303,customer_code_1271,1,46,non-frequent
304,customer_code_1272,1,42,non-frequent
305,customer_code_1273,1,44,non-frequent
306,customer_code_1274,1,47,non-frequent
307,customer_code_1275,1,42,non-frequent
308,customer_code_1276,1,48,non-frequent
309,customer_code_1277,1,46,non-frequent
310,customer_code_1278,1,48,non-frequent
311,customer_code_1279,1,50,frequent
312,customer_code_128,1,49,frequent
313,customer_code_1280,1,43,non-frequent
314,customer_code_1281,1,44,non-frequent
315,customer_code_1282,1,45,non-frequent
316,customer_code_1283,1,44,non-frequent
317,customer_code_1284,1,49,frequent
318,customer_code_1285,1,47,non-frequent
319,customer_code_1286,1,43,non-frequent
320,customer_code_1287,1,44,non-frequent
321,customer_code_1288,1,46,non-frequent
322,customer_code_1289,1,45,non-frequent
323,customer_code_129,1,58,frequent
324,customer_code_1290,1,36,non-frequent
325,customer_code_1291,1,45,non-frequent
326,customer_code_1292,1,46,non-frequent
327,customer_code_1293,1,43,non-frequent
328,customer_code_1294,1,46,non-frequent
329,customer_code_1295,1,45,non-frequent
330,customer_code_1296,1,55,frequent
331,customer_code_1297,1,46,non-frequent
332,customer_code_1298,1,46,non-frequent
333,customer_code_1299,1,50,frequent
334,customer_code_13,1,45,non-frequent
335,customer_code_130,1,40,non-frequent
336,customer_code_1300,1,42,non-frequent
337,customer_code_1301,1,45,non-frequent
338,customer_code_1302,1,45,non-frequent
339,customer_code_1303,1,49,frequent
340,customer_code_1304,1,46,non-frequent
341,customer_code_1305,1,45,non-frequent
342,customer_code_1306,1,42,non-frequent
343,customer_code_1307,1,41,non-frequent
344,customer_code_1308,1,45,non-frequent
345,customer_code_1309,1,42,non-frequent
346,customer_code_131,1,43,non-frequent
347,customer_code_1310,1,43,non-frequent
348,customer_code_1311,1,44,non-frequent
349,customer_code_1312,1,44,non-frequent
350,customer_code_1313,1,41,non-frequent
351,customer_code_1314,1,45,non-frequent
352,customer_code_1315,1,45,non-frequent
353,customer_code_1316,1,47,non-frequent
354,customer_code_1317,1,42,non-frequent
355,customer_code_1318,1,44,non-frequent
356,customer_code_1319,1,47,non-frequent
357,customer_code_132,1,52,frequent
358,customer_code_1320,1,41,non-frequent
359,customer_code_1321,1,35,non-frequent
360,customer_code_1322,1,38,non-frequent
361,customer_code_1323,1,46,non-frequent
362,customer_code_1324,1,46,non-frequent
363,customer_code_1325,1,43,non-frequent
364,customer_code_1326,1,44,non-frequent
365,customer_code_1327,1,46,non-frequent
366,customer_code_1328,1,45,non-frequent
367,customer_code_1329,1,47,non-frequent
368,customer_code_133,1,45,non-frequent
369,customer_code_1330,1,43,non-frequent
370,customer_code_1331,1,47,non-frequent
371,customer_code_1332,1,53,frequent
372,customer_code_1333,1,56,frequent
373,customer_code_1334,1,41,non-frequent
374,customer_code_1335,1,45,non-frequent
375,customer_code_1336,1,50,frequent
376,customer_code_1337,1,49,frequent
377,customer_code_1338,1,41,non-frequent
378,customer_code_1339,1,37,non-frequent
379,customer_code_134,1,44,non-frequent
380,customer_code_1340,1,44,non-frequent
381,customer_code_1341,1,45,non-frequent
382,customer_code_1342,1,44,non-frequent
383,customer_code_1343,1,44,non-frequent
384,customer_code_1344,1,42,non-frequent
385,customer_code_1345,1,42,non-frequent
386,customer_code_1346,1,53,frequent
387,customer_code_1347,1,51,frequent
388,customer_code_1348,1,40,non-frequent
389,customer_code_1349,1,46,non-frequent
390,customer_code_135,1,47,non-frequent
391,customer_code_1350,1,44,non-frequent
392,customer_code_1351,1,46,non-frequent
393,customer_code_1352,1,48,non-frequent
394,customer_code_1353,1,51,frequent
395,customer_code_1354,1,56,frequent
396,customer_code_1355,1,42,non-frequent
397,customer_code_1356,1,44,non-frequent
398,customer_code_1357,1,49,frequent
399,customer_code_1358,1,43,non-frequent
400,customer_code_1359,1,47,non-frequent
401,customer_code_136,1,49,frequent
402,customer_code_1360,1,48,non-frequent
403,customer_code_1361,1,42,non-frequent
404,customer_code_1362,1,40,non-frequent
405,customer_code_1363,1,47,non-frequent
406,customer_code_1364,1,44,non-frequent
407,customer_code_1365,1,54,frequent
408,customer_code_1366,1,47,non-frequent
409,customer_code_1367,1,47,non-frequent
410,customer_code_1368,1,46,non-frequent
411,customer_code_1369,1,42,non-frequent
412,customer_code_137,1,46,non-frequent
413,customer_code_1370,1,44,non-frequent
414,customer_code_1371,1,44,non-frequent
415,customer_code_1372,1,45,non-frequent
416,customer_code_1373,1,44,non-frequent
417,customer_code_1374,1,43,non-frequent
418,customer_code_1375,1,43,non-frequent
419,customer_code_1376,1,43,non-frequent
420,customer_code_1377,1,49,frequent
421,customer_code_1378,1,47,non-frequent
422,customer_code_1379,1,42,non-frequent
423,customer_code_138,1,45,non-frequent
424,customer_code_1380,1,45,non-frequent
425,customer_code_1381,1,44,non-frequent
426,customer_code_1382,1,45,non-frequent
427,customer_code_1383,1,46,non-frequent
428,customer_code_1384,1,43,non-frequent
429,customer_code_1385,1,45,non-frequent
430,customer_code_1386,1,46,non-frequent
431,customer_code_1387,1,46,non-frequent
432,customer_code_1388,1,46,non-frequent
433,customer_code_1389,1,47,non-frequent
434,customer_code_139,1,38,non-frequent
435,customer_code_1390,1,48,non-frequent
436,customer_code_1391,1,39,non-frequent
437,customer_code_1392,1,50,frequent
